"Language_ID","Form","Source","Cognateset_ID","Class","Comment","Cog_Cert","Meaning"
"mac","ipɨ","macushiabbott1991[32]","come","–",,1,"come"
"pem","jepɨ","alvarez2000construcciones[102]","come","–",,1,"come"
"aka","jepɨ","akawaiocaesar2003[125]","come","–",,1,"come"
"ing","jepə","cruz2005fonologia[415]","come","–",,1,"come"
"ing","jə","cruz2005fonologia[299]","come","–",,1,"come"
"kax","johɨ","pc[Spike Gildea]","come","S_A_",,1,"come"
"pat","jəpɨ","pc[Spike Gildea]","come","–",,1,"come"
"pat","jepɨ","pc[Spike Gildea]","come","–",,1,"come"
"mak","ehə","maquiritaricaceres2011[438]","come","S_A_",,1,"come"
"car","ehɨ","robayo2000avance[178]","come","–",,1,"come"
"aku","eepɨ","meira1998proto[168]","come","S_A_","The length is unexpected if the form comes from *epɨ; meira1998proto argues that it comes from *əepɨ",1,"come"
"map","epɨ","muller1975mapoyo[74]","come","–",,1,"come"
"kax","ehɨ","pc[Spike Gildea]","come","S_A_",,1,"come"
"tri","epɨ","triomeira1999[294]","come","S_A_",,1,"come"
"ara","ebɨ","alves2017arara[150]","come","S_A_",,1,"come"
"apa","o+epɨ","koehn1986apalai[37]","DETRZ+come","S_A_",,1,"come"
"tri","ə+epɨ","triomeira1999[294]","DETRZ+come","S_A_",,1,"come"
"ikp","ar+ep","ikpengpacheco2001[265]","DETRZ+come","S_A_",,1,"come"
"ara","od+ebɨ","alves2017arara[150]","DETRZ+come","S_A_",,1,"come"
"aka","əs+ipɨ","stegeman2014akawaio[160]","DETRZ+come","–",,1,"come"
"bak","ə+ewɨ","meira2003bakairi[4]","DETRZ+come","S_A_",,1,"come"
"pan","əpɨ","panarepayne2013[65]","come","S_A_",,1,"come"
"yab","əpɨ","mendez1959yawarana[68]","come","–",,1,"come"
"kar","opɨ","courtz2008carib[429]","come","S_A_",,1,"come"
"uxc","ee","meira2005southern[182]","come","–",,1,"come"
"kax","oohɨ","pc[Spike Gildea]","come","S_A_",,1,"come"
"ing","ətə","cruz2005fonologia[291]","go","–",,1,"go"
"tri","tə[n]","triomeira1999[292]","go","S_A_",,1,"go"
"way","[ɨ]tə[m]","wayanatavares2005[195]","go","S_A_",,1,"go"
"aku","[ə]tə[mɨ]","gildea1994akuriyo[87]","go","S_A_",,1,"go"
"ara","ɨdo","alves2017arara[153]","go","S_A_",,1,"go"
"hix","[ɨ]to","hixkaryanaderby1985[27, 248]","go","S_A_",,1,"go"
"wai","[e]to[m]","waiwaihawkins1998[45, 62]","go","–",,1,"go"
"ikp","aran","ikpengpacheco2001[54]","go","S_A_",,1,"go"
"ikp","ero","ikpengpacheco2001[80]","go","S_A_",,1,"go"
"bak","[ɨ]tə","von1892bakairi[112, 374]","go","S_A_","Various unprefixed forms spelled as ⟨ita⟩.",1,"go"
"mak","ɨtə[mə]","maquiritaricaceres2011[181, 216]","go","S_A_",,1,"go"
"car","təmə","meira1998proto[112]","go","–",,1,"go"
"kar","to","hoff1968carib[168]","go","S_A_",,1,"go"
"kar","[ɨ]ʔ","hoff1968carib[168]","go","S_A_",,1,"go"
"yuk","to","meira2006syntactic[139]","go","–",,1,"go"
"yab","tə","caceres2018yawarana[4]","go","–",,1,"go"
"map","tə","muller1975mapoyo[74]","go","–","wɨs-tə-ri. I interpret wɨs- as an allomorph of wɨhɨ ‘1’. /s/ becomes /h/ intervocalically in Mapoyo.",1,"go"
"pan","tə[n]","mattei1994diccionario[198]","go","S_A_",,1,"go"
"mac","[a]tɨ","macushiabbott1991[48, 50]","go","–",,1,"go"
"pem","[e]tə","garcia2006diccionario[172]","go","–",,1,"go"
"kax","to[mo]","pc[Spike Gildea]","go","S_A_",,1,"go"
"uxc","[e]te","franchetto2002kuikuro[6]","go","–",,1,"go"
"bak","ke","meira2003bakairi[4]; meira2005bakairi[297]","say","S_A_",,1,"say"
"uxc","ki","franchetto2008absolutivo[48]","say","–",,1,"say"
"ikp","ke","ikpengpacheco2001[209]","say","S_A_",,1,"say"
"ara","ke","alves2017arara[153]","say","S_A_",,1,"say"
"hix","ka[h]","hixkaryanaderby1985[182]","say","S_A_",,1,"say"
"car","ka","meira1998proto[113]","say","–",,1,"say"
