,\rc{ka[ti]},\rc{ɨtə[mə]},\rc{a[p]},\rc{eti},\rc{(ət-)jəpɨ},\rc{ɨpɨtə},\rc{e-pɨ}
,\qu{say},\qu{go},\qu{be-1},\qu{be-2},\qu{come},\qu{go down},\qu{bathe}
Proto-Waiwaian \**k-*,n,n,n,n,–,N/A,y
    Hixkaryána,n,n,n,n,–,N/A,y
    Waiwai,n,(y),n,n,–,N/A,y
Proto-Pekodian \**k-*,n,n,n,n,n,n,n
    Arara,n,n,n,n,n,n,n
    Ikpeng,n,y,–,n,y,?,n
    Bakairi,n,n,n,n,y,y,n
Proto-Tiriyoan \**t-*,n,n,n,n,n,N/A,y
    Tiriyó,n,n,n,n,n,N/A,y
    Akuriyó,n,n,n,?,n,N/A,y
Akuriyó *k-*,n,n,n,?,n,n,n
Karijona *j-*,n,n,n,y,y,N/A,?
Yukpa *j-*,?,n,y,y,–,N/A,–
